Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Venezuela, RB",VEN,Population density (people per sq. km of land area),EN.POP.DNST,32.41009353,32.90973641,33.40319823,33.89045972,34.3720288,34.84879315,35.32127884,35.78955728,36.25312057,..
"Venezuela, RB",VEN,Population growth (annual %),SP.POP.GROW,1.571087019,1.529865044,1.488309734,1.448189989,1.410956652,1.377538959,1.346707547,1.31705725,1.286930752,..
"Venezuela, RB",VEN,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,11.50520402,11.33709563,11.17621762,11.02981591,10.8920503,10.75950811,10.63197334,10.50897193,10.38965244,..
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28587323,29028033,29463291,29893080,30317848,30738378,31155134,31568179,31977065,..
"Venezuela, RB",VEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.05442972,50.0812869,50.10822283,50.13508984,50.16167539,50.18767262,50.21294725,50.23737666,50.26112307,..
"Venezuela, RB",VEN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.94557028,49.9187131,49.89177717,49.86491016,49.83832461,49.81232738,49.78705275,49.76262334,49.73887693,..
"Venezuela, RB",VEN,"Population ages 65 and above, total",SP.POP.65UP.TO,1532816,1595595,1660816,1728407,1798807,1872352,1949541,2030796,2115057,..
"Venezuela, RB",VEN,"Population ages 15-64, total",SP.POP.1564.TO,18446608,18796235,19133607,19463631,19787207,20106367,20422290,20731567,21038003,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/24/2019,,,,,,,,,,,,,
